anime_id,name,genre,type,episodes,rating,members
33705,Mameshiba the DVD Green Pea-shiba no Kutsujoku,Comedy,OVA,4,5.5,111
33547,Mameshiba x Gaist Crusher Collab CM,"Comedy, Fantasy, Parody",Special,1,5.08,128
12185,Mameushi-kun,"Comedy, Fantasy, Kids",TV,52,6.56,72
30930,Mameushi-kun no Koutsuu Anzen,"Drama, Kids",OVA,1,6,35
11525,Mamimume★Mogacho,Kids,TV,13,6.55,95
24019,Manabu no Natsuyasumi,"Fantasy, Kids",OVA,1,4.75,93
16994,Mandalaya no Ryouta: Kukidani Onsen Enshou Soudou Tan,"Comedy, Ecchi, Seinen",OVA,2,5.06,80
23763,Manga Aesop Monogatari,"Adventure, Fantasy, Kids",Movie,1,5.87,81
3180,Manga Aesop Monogatari (TV),"Comedy, Fantasy, Kids",TV,52,6.5,175
10136,Manga Doushite Monogatari,"Adventure, Comedy, Kids",TV,100,6.67,140
30139,Manga Doushite Monogatari OVA,"Adventure, Comedy, Kids",OVA,2,5.44,49
10135,Manga Hajimete Monogatari,"Adventure, Comedy, Historical",TV,305,6.36,169
30107,Manga Hajimete Monogatari OVA,"Adventure, Comedy, Historical",OVA,1,5.8,52
10138,Manga Hajimete Omoshiro Juku,"Adventure, Kids",TV,110,6.68,162
30312,Manga Hajimete Omoshiro Juku OVA,"Adventure, Kids",OVA,4,6.11,48
20241,Manga Hana no Kakarichou,"Comedy, Seinen, Slice of Life",Movie,1,7.33,56
20183,Manga Ijin Monogatari,Historical,TV,46,6.87,141
23001,Manga Jinbutsushi,Historical,TV,365,6.91,71
20231,Manga Kodomo Bunko,"Drama, Fantasy, Kids",TV,51,6.14,84
33300,Manga Kotowaja Jiten,"Comedy, Historical",TV,88,6.5,37
11829,Manga Mitokoumon,Historical,TV,46,7.15,169
10137,Manga Naruhodo Monogatari,"Adventure, Kids",TV,102,6.74,115
30198,Manga Naruhodo Monogatari OVA,"Adventure, Kids",OVA,5,6.67,50
9856,Manga Nihon Emaki,Historical,TV,46,6.17,122
10709,Manga Nihon Keizai Nyuumon,Drama,TV,25,6.67,86
11245,Manga Nihonshi,Historical,TV,52,6.2,114
22509,Manga Nihonshi (NHK Han),Historical,TV,40,7.55,188
10282,Manga Nippon Mukashibanashi,Historical,TV,12,5.95,174
10285,Manga Nippon Mukashibanashi (Movie),Historical,Movie,1,6.05,110
24683,Manzai Taikouki,"Comedy, Historical, Seinen",Movie,1,5.14,53
28237,MapleStory Special,"Action, Comedy, Fantasy, Kids",Special,1,5.46,152
5987,Marin to Yamato: Fushigi na Nichiyoubi,Kids,OVA,1,5.69,137
16784,Marin X,"Action, Adventure, Mecha, Sci-Fi, Shounen",Movie,1,4.08,76
6942,Marine Snow no Densetsu,Sci-Fi,Special,1,6.32,184
10648,Mars,"Action, Mecha, Sci-Fi, Shounen",OVA,2,6,183
19873,Marude Dameo,"Comedy, Sci-Fi, Shounen",TV,47,6.2,73
29963,Marude Sekai,Music,Music,1,3.93,79
16590,Mashin Eiyuuden Wataru: Soukaizan Eiyuu Densetsu,"Action, Adventure, Comedy, Fantasy, Mecha, Sci-Fi, Shounen",OVA,1,7,115
33383,Mask Masters,"Action, Adventure",TV,26,8,53
32059,Master of Torque 3,"Action, Sci-Fi",ONA,1,4.83,167
30781,Matsubara-kun,Comedy,ONA,5,4.59,84
33843,Matsubara-kun: Mackie E no Ouen Message,Comedy,ONA,1,3.38,48
27951,Mattsu to Yanma to Moburi-san 2: Suigun Otakara to Nazotoki no Shimajima,"Fantasy, Magic",ONA,1,4.95,168
25301,Maya no Isshou,"Drama, Historical, Slice of Life",Movie,1,8.75,66
10239,Mayutoro The Toons,"Comedy, Fantasy, Kids",TV,33,5.38,76
29719,Maze Maze Wien,Dementia,Movie,1,5.9,59
8442,Maze☆Bakunetsu Jikuu: Tenpen Kyoui no Giant,"Adventure, Comedy, Fantasy, Mecha, Shounen",Movie,1,6.22,381
9821,McDull and Chinese Culture,"Comedy, Historical",TV,5,6.79,90
9820,"McDull, the Alumni",Comedy,Movie,1,6.38,83
11711,Me wo Samase Toragorou,Kids,Special,1,5.67,69
26221,Mebae no Ashita,"Drama, Kids",OVA,1,8.33,45
31009,Mebuki,"Drama, Kids",OVA,1,7,34
16834,Mecha Robot Corps 3,"Action, Adventure, Mecha, Shounen",Movie,1,4.31,82
9334,Mecha☆Afro-kun,Comedy,OVA,1,6.25,183
6727,Mechakko Dotakon,"Comedy, Sci-Fi",TV,28,6.36,125
24259,Mechano: Scientific Attack Force,"Comedy, Dementia, Fantasy, Horror, Music, Parody",OVA,3,2.55,120
25267,Megumi to Taiyou II: Kajuu Gummi Tweet Mystery - Kieta Sapphire Roman no Nazo,Mystery,Special,1,4.94,154
25491,Megumi to Taiyou III: Kajuu Gummi Tweet Fantasy - Timeline World,Fantasy,Special,1,4.94,128
25265,Megumi to Taiyou: Kajuu Gummi Tweet Love Story,"Romance, Slice of Life",Special,1,5.36,232
26271,Meiji Ishin wo Tsukuriageta Hitobito,"Drama, Historical, Kids, Samurai",OVA,1,5,52
33087,Meiji Tokyo Renka Movie: Hanakagami no Fantasia,"Fantasy, Harem, Historical, Romance, Shoujo",Movie,1,6.22,766
25085,Meiken Lassie Specials,"Adventure, Slice of Life",Special,2,6.38,69
33079,Meikyoku to Dai Sakkyokka Monogatari,"Historical, Music",OVA,9,7.25,44
4121,Meimon! Daisan Yakyuubu,"Action, Shounen, Sports",TV,40,6.44,214
30027,Meisaku World,"Adventure, Fantasy, Historical, Kids, Magic, Supernatural",TV,39,8,42
19705,Meitantei Hangyodon: Kaitou Ruzu Arawaruno-kan,"Kids, Mystery",OVA,1,4.05,67
21447,Meitantei Rascal,"Adventure, Kids, Mystery",TV,12,5.52,162
27559,Mellow,"Comedy, School, Seinen",OVA,1,6.23,122
18311,Meoteoldosa,"Action, Adventure, Fantasy, Magic, Shounen",Movie,1,5.89,71
18331,Meoteoldosawa 108 Yogoe,"Action, Adventure, Fantasy, Shounen",Movie,1,5.44,67
18329,Meoteoldosawa Ttomae,"Action, Adventure, Fantasy, Magic, Shounen",Movie,1,5.38,66
7616,Michi,Drama,Movie,4,8,187
16586,Michitekuru Toki no Mukou ni,"Adventure, Fantasy, Romance",Special,1,6.9,126
3846,Microid S,"Action, Sci-Fi",TV,26,6.08,160
7751,Midnight Horror School,Comedy,TV,52,6.9,328
30723,Midori no Makibao Compilation OVA,"Comedy, Sports",OVA,1,5.56,50
5994,Midoriyama Koukou Koushien-hen,"Comedy, School, Sports",OVA,10,7.26,138
8522,Midoriyama Koukou Koushien-hen (Movie),"Comedy, School, Sports",Movie,1,6.08,93
26259,Mienu Me ni Kanjita Kumotoriyama no Asahi,"Drama, Kids",OVA,1,9,47
27579,Mii-chan no Tenohira,"Drama, Historical",Movie,1,8.33,51
31268,Miira no Yume,Dementia,Movie,1,2.97,98
26107,Miitsuketa!,"Drama, Kids",OVA,1,7.67,48
25661,Mikan Enikki Specials,"Comedy, Shoujo, Slice of Life",Special,2,7,116
12259,Mikeneko Holmes no Yuurei Joushu,"Comedy, Drama, Mystery",OVA,1,6.53,105
20453,Mikosuri Han-Gekijou,"Comedy, Parody",OVA,1,5.43,60
29557,Mikuni no Tame Ni,"Historical, Military",Movie,1,4.14,96
19597,Milk House Dreaming: Ai no Shiki,"Music, Shoujo",OVA,1,4.81,122
16954,Milky Passion: Dougenzaka - Ai no Shiro,"Josei, Romance",OVA,1,5.47,196
32402,Mim Mam Mint,Comedy,TV,Unknown,4.1,228
31582,Mimizu Monogatari,Dementia,Movie,1,3.39,139
26319,Mimizuku to Tsuki-sama,"Drama, Kids",OVA,1,5.8,43
26255,Mina no Bousai Mura Dzukuri,"Drama, Kids",OVA,1,5,40
26247,Mina no Egao,"Drama, Kids",OVA,1,6.22,52
26253,Mina no Mura no Gomi Soudou,"Drama, Kids",OVA,1,5.5,40
26249,Mina no Mura to Kawa,"Drama, Kids",OVA,1,6,42
26251,Mina no Mura to Mori,"Drama, Kids",OVA,1,6.2,43
32475,Minami no Kuni kara Kita Tegami,"Kids, Music",Music,1,5.8,43
25071,Minami no Niji no Lucy Specials,"Adventure, Drama, Slice of Life",Special,2,7.6,93
29767,Minamo,,Movie,1,4.04,106
26277,Minamoto no Yoritomo to Bushi no Yononaka,"Drama, Historical, Kids, Samurai",OVA,1,7.67,49
7452,Mini Moni Yaru no da Pyon!,Comedy,TV,66,4.78,146
31410,Mini Van 2nd Season,"Comedy, Game, Parody, Slice of Life",TV,26,6.1,373
18275,Mini Yon Soldier Rin!,"Action, Adventure, Mecha, Shounen",OVA,1,4.8,63
34122,Minna de Bokumetsu Inshu Unten,Drama,Special,1,4.56,48
30759,Minna de Tonda,"Drama, Kids",OVA,1,7.67,38
26325,Minna Ichiban!,"Drama, Kids",OVA,1,6,41
26337,Minna no Doutoku,"Drama, Fantasy, Historical, Kids, School",OVA,6,8.67,41
23729,Minna Tomodachi,"Comedy, Fantasy, Kids",OVA,1,5,41
25051,Miracle Giants Doumu-kun Special,Sports,Special,1,5.55,73
16021,Miracle Psychicer Seizan,"Action, Adventure, Fantasy",OVA,5,7.12,97
5374,Miracle! Mimika,"Kids, Slice of Life",TV,225,5.28,145
16800,Miraesonyeon Kunta Beomyuda 5000 Nyeon,"Action, Adventure, Mecha, Shounen",Movie,1,3.17,82
32251,Mirai e no Kakehashi: Bridge for Future,Slice of Life,ONA,6,5.18,282
29365,"Mirai e no Niji: Boku no Ojisan wa, Hansen-byou","Drama, Kids",OVA,1,8.5,45
16159,Mirai Kara Kita Shounen Super Jetter,"Action, Comedy, Sci-Fi, Super Power",TV,52,5.43,108
31001,Mirai Kara no Message,"Drama, Kids",OVA,1,7.75,38
33980,Mirai ni Mukete: Bousai wo Kangaeru,Drama,Movie,1,9,77
25053,Mister Ajikko Special,"Comedy, Shounen",Special,1,6.82,119
32461,Mitsuami no Kamisama,"Drama, Seinen, Slice of Life",Movie,1,7.16,465
4096,Mizu no Tane,Historical,Movie,1,5.07,144
8243,Mizuki Shigeru no Toono Monogatari,"Adventure, Fantasy",Movie,1,7.67,143
10149,Mo fa a ma,"Adventure, Fantasy",Movie,1,6.18,124
33602,Mo Jing Lieren,"Adventure, Fantasy",ONA,26,7.5,49
33603,Mo Jing Lieren 2nd Season,"Adventure, Fantasy",ONA,26,7,37
33604,Mo Jing Lieren 3rd Season,"Adventure, Fantasy",ONA,Unknown,7.25,58
34519,Mobile Suit Gakuen: G-Reco Koushien,Comedy,Special,9,5.67,94
33225,Mobile Suit Gundam-san (ONA),"Comedy, Mecha, Parody",ONA,15,6.19,217
32158,Mobile Suit Gundam-san: Bouya Dakara sa,"Comedy, Mecha, Parody",Special,1,5.57,197
33228,Mobile Suit Gundam-san: Hiyoko day&#039;s Ichisuisei Hiyoko to Fushigi na Ofuda,"Comedy, Mecha, Parody",Special,1,5.64,222
29833,Mochi Mochi no Ki,Kids,Movie,1,4.27,99
25605,Mochi Mochi no Ki (OVA),"Drama, Kids",OVA,1,6.4,56
6067,Moeru! Oniisan,"Action, Adventure, Comedy",TV,24,7.33,252
11959,Moeru! Oniisan (OVA),Comedy,OVA,2,5.89,104
5241,Mofu☆Mofu,Kids,TV,11,4.67,220
23005,Mogura no Motoro,Slice of Life,Movie,1,9.5,62
30760,Momoiro no Crayon,"Drama, Kids",OVA,1,5.06,54
23881,Momon&#039;s Sand Witch,"Comedy, Kids",ONA,8,4.82,116
25547,Momon&#039;s Sand Witch Bangai-hen: Tanu no Kyuujitsu,"Comedy, Kids",ONA,1,3.78,71
23885,Momon&#039;s Sand Witch Episode 0,"Comedy, Kids",ONA,1,5,91
29387,Momonga-mon,"Adventure, Kids",TV,5,5.8,42
31116,Momotaros no Natsuyasumi,"Action, Comedy, Kids, Parody, Super Power",Movie,1,4.08,62
10758,Momotarou,Drama,Movie,1,5.57,183
33401,Momotarou (Music),Music,Music,1,3.65,84
11533,Momotarou Densetsu,"Adventure, Comedy",TV,51,6.35,150
28553,Momotarou no Hi Asobi Yameyou! Hi no Youjin,"Drama, Fantasy, Historical, Kids",OVA,1,6,39
22671,Momoya x Peeping Life: Go en Desu yo! II,"Comedy, Slice of Life",ONA,5,5.15,169
22893,Mon Cheri CoCo,"Romance, Shoujo",TV,13,6.71,137
31924,Monchhichiisu,Kids,TV,20,4.8,39
18743,Money Wars: Nerawareta Waterfront Keikaku,Seinen,OVA,1,5.05,130
9797,MonHun Nikki Girigiri Airou Mura: Airou Kiki Ippatsu Specials,"Action, Comedy",Special,2,6.08,227
19479,Monkey Punch: Manga Katsudou Daishashin - Crime Mate Special,"Action, Comedy, Ecchi, Parody",Special,1,6.2,105
2741,Monkey Turn V,"Action, Drama, Sports",TV,25,7.13,245
22221,Monoshiri Daigaku: Ashita no Calendar,Historical,TV,1274,6.8,112
30117,Monpy,"Adventure, Kids",TV,18,5.67,35
24045,Monster ni Natta Domerica,"Action, Fantasy",ONA,1,4.94,146
33724,Monster Strike The Movie: Hajimari no Basho e,"Action, Fantasy, Game",Movie,1,6.75,978
25541,Moom,Kids,Movie,1,6,100
30397,Mori no Kuma-san,Slice of Life,Movie,1,3.96,101
31369,Mori no Ongakudan,"Comedy, Music",ONA,Unknown,4.92,93
7529,Mori no Ongakukai,Comedy,Movie,1,6.13,105
33116,Mori no Ongakutai,"Fantasy, Kids",Movie,1,4.69,47
29427,Mori no Ratio,"Adventure, Fantasy, Kids",TV,Unknown,5,61
20173,Mori no Senshi Bonolon,"Adventure, Fantasy, Kids",TV,26,4.57,66
12613,Morizo to Kikkoro,Kids,TV,52,5.42,76
26281,Mother Teresa,"Drama, Historical, Kids",OVA,1,7.25,52
26115,Moudouken Quill no Isshou,Drama,OVA,1,6.2,57
20001,Mouretsu Atarou,"Comedy, Kids, Slice of Life",TV,90,6.33,80
12391,Mouretsu Atarou (1990),"Comedy, Kids, Slice of Life",TV,34,7.1,103
31643,Mr. Deniroo in Henteko Mushi,"Comedy, Kids, Slice of Life",Special,1,4.4,52
17603,Mr. Pen Pen,"Comedy, Kids, Shoujo",Special,1,6.13,74
17605,Mr. Pen Pen II,"Comedy, Kids, Shoujo",Special,1,5.78,63
31638,Mr. Shape,"Comedy, Kids",Special,3,4.71,54
31639,Mr. Shape: High Touch Taisou,"Kids, Music",ONA,1,4.11,65
2735,Mugen Senki Portriss,"Action, Mecha, Sci-Fi, Shounen",TV,52,5.33,161
16796,Mujeokcheorin Rambot,"Action, Mecha, Shounen, Space",Movie,1,3.36,74
31878,Mukashi Toilet ga Kowakatta!,"Kids, Music",Music,1,4.92,45
33694,Mukidashi no Koushi,"Comedy, Music",ONA,1,4,83
30944,Muku Hatojuu no Meiken Monogatari,"Adventure, Drama, Kids",OVA,1,7,46
29895,Muku no Ki no Hanashi,Kids,Movie,1,4.04,84
9948,Music Up,Music,TV,52,6.23,147
33479,Muzumuzu Eighteen,Slice of Life,TV,Unknown,3.8,72
33537,My Home,Slice of Life,ONA,1,5.14,45
14253,My Melody no Akazukin,"Fantasy, Kids",Movie,1,5.6,146
30468,My Melody no Akazukin (OVA),"Fantasy, Kids",OVA,1,5.71,74
29371,Naccio to Pomm,"Adventure, Kids, Sci-Fi",TV,41,4.75,43
17100,Nae Ireumeun Dokgotak,Sports,Movie,1,5,66
23713,Nagareboshi no Okurimono,"Fantasy, Kids",OVA,1,6.29,45
3465,Nagasaki 1945: Angelus no Kane,"Drama, Historical, Military",Movie,1,6.61,346
26147,Nagasaki no Kouma,"Historical, Kids",Movie,1,7.33,50
32776,Nagisa,Music,Music,1,3.85,69
33485,Naita Aka Oni,"Demons, Kids",Movie,1,5.08,47
26305,Naita Aka Oni (OVA),"Demons, Drama, Kids",OVA,1,5.75,48
26103,Namae... Sore wa Moeru Inochi,"Drama, Kids",OVA,1,8.33,50
19817,Namakemono ga Miteta,"Music, Seinen, Slice of Life",OVA,2,6.42,65
32876,Nameko: Sekai no Tomodachi,Comedy,TV,Unknown,5.6,261
33583,Nana Moon,"Fantasy, Kids",TV,52,6,36
34309,Nananin no Ayakashi: Chimi Chimi Mouryou!! Gendai Monogatari,"Comedy, Supernatural",TV,Unknown,,129
26335,Nanatsu no Hoshi,"Drama, Kids",OVA,1,7.33,102
25083,Nanatsu no Umi no Tico Specials,"Adventure, Slice of Life",Special,2,6.78,137
19797,Nanbo no Monjai! 2: Yankee Gurentai,"Action, Comedy",OVA,1,5,56
19783,Nanbo no Monjai! Yankee Gurentai,"Action, Comedy",OVA,1,6,60
8959,Nanchatte!,"Comedy, Parody",ONA,2,4.06,126
30398,Nani ga Dekiru ka na,Comedy,Movie,1,3.52,101
33861,Nani no Yaku ni Mo Tatanai Karappona Hanashi,Comedy,ONA,2,3.5,33
18631,Naniwa Kinyuu Den: Minami no Teiou,"Comedy, Drama, Seinen",OVA,2,5.18,87
9498,Naniwa Yuukyouden,"Action, Comedy",OVA,1,6,119
19745,Naniwa Yuukyouden: Chou Gokudou! Yoru no Bat wa Manrui-hen,"Action, Comedy",OVA,1,7.29,72
19753,Naniwa Yuukyouden: Kanketsu-hen,"Action, Comedy",OVA,1,6.88,61
19749,Naniwa Yuukyouden: Kyouretsu! Ana ga Attara Iretai-hen,"Action, Comedy",OVA,1,7.14,60
19729,Naniwa Yuukyouden: Nekketsu!! Bakushou Mankai-hen,"Action, Comedy",OVA,1,7,88
24549,Naniwabushi Daisuki,"Drama, Historical, Sports",Special,1,7,49
29495,Nanja Monja Obake,"Horror, Kids",Special,1,5.43,49
27943,Nano Invaders,"Action, Adventure, Shounen, Super Power",TV,52,7.08,519
33266,Nanocore,Sci-Fi,ONA,10,6.17,163
33271,Nanocore 2nd Season,"Action, Sci-Fi",ONA,Unknown,5.33,163
33272,Nanocore: 2016 New Year Special,Music,Music,1,4.93,102
33279,Nanocore: NG Scenes - Nano&#039;s Daily Life,"Comedy, Sci-Fi",ONA,2,4.5,62
30975,Nanoha,"Drama, Historical, Kids",OVA,1,4.5,52
28695,Nansensu Monogatari Dai Ippen: Sarugashima,Adventure,Movie,1,5.11,126
29715,Nar Doma,Comedy,TV,26,5.02,2124
32276,Nar Doma Manner Movie,Comedy,Movie,1,3.67,65
32275,Nar Doma Special,Comedy,Special,1,8,71
32136,Narara Superboard,"Action, Adventure, Comedy",TV,54,4.83,46
16810,Narara Wondeogongju,"Action, Adventure, Sci-Fi, Space, Super Power",Movie,1,3.25,87
18315,Nareuneun Dwaeji - Haejeok Mateo,"Action, Adventure, Sci-Fi, Shounen",Movie,1,4.38,60
26153,Nat-chan no Akai Tebukuro,"Historical, Kids",Movie,1,8,51
30209,Naze,"Kids, Music",Music,1,4.27,42
33130,Naze Ikiru: Rennyo Shounin to Yoshizaki Enjou,Historical,Movie,1,6.43,507
15211,Nazotoki-hime wa Meitantei♥,"Mystery, Shoujo",OVA,Unknown,5.62,194
5184,Negibouzu no Asatarou,"Adventure, Comedy, Historical",TV,48,7.25,136
25253,Nekketsu Jinmen Inu: Life Is Movie,"Comedy, Mystery, Parody",OVA,3,5.74,256
31361,Neko Enikki,"Comedy, Slice of Life",TV,13,6.67,133
24903,Neko Funjatta,Music,Music,1,4.15,79
5925,Neko Hiki no Ororane,Fantasy,OVA,1,6.72,163
33398,Neko Konogoro,Comedy,TV,Unknown,2.8,186
32999,"Neko mo, Onda-ke","Comedy, Slice of Life",TV,12,3.63,234
32572,Neko Neko Nihonshi,"Historical, Parody",TV,Unknown,5.9,612
23555,Neko no Dayan,"Kids, Magic",TV,52,5.38,297
33727,Neko no Dayan: Fushigi Gekijou,Kids,TV,Unknown,4.25,90
31562,Neko no Dayan: Nihon e Iku,Kids,TV,12,6.5,141
33826,Neko no Kuni no Kenpou,Historical,OVA,1,7.33,20
13497,Neko no Sumu Shima,Drama,Special,1,5,202
23737,Neko Pitcher,"Comedy, Kids, Sports",TV,51,7.13,308
24573,Neko to Nezumi,Comedy,Movie,1,5.57,72
31017,Neko wa Ikite Iru,"Drama, Historical, Kids",Movie,1,7.33,41
29851,Nekoronde Mite ne.,Comedy,ONA,14,3.43,54
29844,Nekoronde TV.,Comedy,TV,12,4.55,46
30647,Nemuranu Machi no Cinderella: Hirose Ryouichi - Memorial Date,Romance,ONA,1,5.24,255
27843,Nemurenu Yoru no Chiisana Ohanashi,Kids,OVA,3,6.25,53
30217,Neo Faust,Supernatural,Special,1,5.38,138
30409,Nepos Napos,"Fantasy, Kids",TV,26,7.67,38
30864,New Tokyo Ondo,Dementia,Movie,1,3.92,84
23643,Nezumi no Yomeiri,"Fantasy, Kids",Movie,1,4.96,89
